,woiid,PlayerName,TeamID,ShortName,Way,TOTMIN,Calc-AAV,Contract.ID,ElgEffSn,EffSn,Contract.Length,Year,Written.AAV,DetailID,NHL.Salary,Signing.Bonus,NDC,NTC,Retired,BoughtOut,slid,BonusElg,MinorSal,JuniorSal,MinimumSal,Source,FAStatus,ContractStatus,NHLExpr,YrsPro,WhereAbt,RtrStatus,AgeELFA,pos,BonusID,BonusMax,BonusMet,BonusDesc,TotalComp,Name,Age,aAAV
11,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,1800000,xabdelju87-2013,NULL,2013,4,2015,NA,3486,2E+06,0,,,,,,FALSE,0,0,2000000,war-on-ice.com,UFA,,,,,,,RL,NA,0,0,NA,2E+06,Justin Abdelkader,27,1800000
12,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,1800000,xabdelju87-2013,NULL,2013,4,2016,NA,3487,2250000,0,,,,,,FALSE,0,0,2250000,war-on-ice.com,UFA,,,,,,,RL,NA,0,0,NA,2250000,Justin Abdelkader,28,1800000
13,abeltko92,Konrad Abeltshauser &abeltko92,NA,NA,TWO,75000,575000,x315,2016,2016,1,2016,0,441,575000,0,,,,,,FALSE,75000,0,,war-on-ice.com,RFA,,,,,,,D,NA,0,0,NA,575000,Konrad Abeltshauser,23,575000
14,abeltko92,Konrad Abeltshauser &abeltko92,NA,NA,TWO,187500,633333,xabeltko92-2013,2011,2013,3,2013,633000,4281,525000,75000,,,,,,FALSE,55000,0,,war-on-ice.com,RFA,,,,,,,D,NA,150000,0,NA,6E+05,Konrad Abeltshauser,20,"633,333.333333333"
15,abeltko92,Konrad Abeltshauser &abeltko92,NA,NA,TWO,187500,633333,xabeltko92-2013,2011,2013,3,2014,633000,4282,550000,75000,,,,,,FALSE,65000,0,,war-on-ice.com,RFA,,,,,,,D,NA,125000,0,NA,625000,Konrad Abeltshauser,21,"633,333.333333333"
16,abeltko92,Konrad Abeltshauser &abeltko92,NA,NA,TWO,187500,633333,xabeltko92-2013,2011,2013,3,2015,633000,4283,6E+05,75000,,,,,,FALSE,67500,0,,war-on-ice.com,RFA,,,,,,,D,NA,75000,0,NA,675000,Konrad Abeltshauser,22,"633,333.333333333"
17,abergpo93,Pontus Aberg &abergpo93,NA,NA,TWO,210000,780833,xabergpo93-2015,NULL,2015,3,2015,NA,2117,6E+05,92500,,,,,,FALSE,70000,0,692500,war-on-ice.com,RFA,,,,,,,LR,NA,232500,0,NA,692500,Pontus Aberg,20,"780,833.333333333"
18,abergpo93,Pontus Aberg &abergpo93,NA,NA,TWO,210000,780833,xabergpo93-2015,NULL,2015,3,2016,NA,2118,715000,92500,,,,,,FALSE,70000,0,807500,war-on-ice.com,RFA,,,,,,,LR,NA,117500,0,NA,807500,Pontus Aberg,21,"780,833.333333333"
19,abergpo93,Pontus Aberg &abergpo93,NA,NA,TWO,210000,780833,xabergpo93-2015,NULL,2015,3,2017,NA,2119,750000,92500,,,,,,FALSE,70000,0,842500,war-on-ice.com,RFA,,,,,,,LR,NA,82500,0,NA,842500,Pontus Aberg,22,"780,833.333333333"
20,abidxra80,NA,NA,NA,Unknown,NA,NA,2003abidxra80,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,Ramzi Abid,22,NA
21,abidxra80,NA,NA,NA,Unknown,NA,NA,2004abidxra80,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,Ramzi Abid,23,NA
22,abneyca91,Cameron Abney &abneyca91,NA,NA,TWO,160000,588333,xabneyca91-1,NULL,2012,3,2012,NA,abneyca91-1-1,525000,55000,,,,,,FALSE,50000,0,50000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,580000,Cameron Abney,20,"588,333.333333333"
23,abneyca91,Cameron Abney &abneyca91,NA,NA,TWO,160000,588333,xabneyca91-1,NULL,2012,3,2013,NA,abneyca91-1-2,525000,55000,,,,,,FALSE,55000,0,55000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,580000,Cameron Abney,21,"588,333.333333333"
24,abneyca91,Cameron Abney &abneyca91,NA,NA,TWO,160000,588333,xabneyca91-1,NULL,2012,3,2014,NA,abneyca91-1-3,550000,55000,,,,,,FALSE,55000,0,55000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,605000,Cameron Abney,22,"588,333.333333333"
25,acciano91,Noel Acciari &acciano91,NA,NA,TWO,140000,792500,x-1984,2016,2016,2,2016,0,832430,6E+05,92500,,,,,,FALSE,70000,0,,war-on-ice.com,RFA,,,,,,,F,189,232500,0,,692500,Noel Acciarai,23,792500
26,acciano91,Noel Acciari &acciano91,NA,NA,TWO,140000,792500,x-1984,2016,2016,2,2017,0,832431,8E+05,92500,,,,,,FALSE,70000,0,,war-on-ice.com,RFA,,,,,,,F,190,32500,0,,892500,Noel Acciarai,24,792500
27,acolase90,Sena Acolatse &acolase90,NA,NA,TWO,150000,575000,x184,2016,2016,1,2016,0,226,575000,0,,,,,,FALSE,150000,0,,war-on-ice.com,RFA,,,,,,,D,NA,0,0,NA,575000,Sena Acolatse,24,575000
28,acolase90,Sena Acolatse &acolase90,NA,NA,TWO,202500,696666,xacolase90-1,NULL,2012,3,2012,NA,acolase90-1-1,530000,90000,,,,,,TRUE,67500,0,67500,war-on-ice.com,NULL,,,,,,,D,NA,280000,0,NA,620000,Sena Acolatse,20,"696,666.666666667"
29,acolase90,Sena Acolatse &acolase90,NA,NA,TWO,202500,696666,xacolase90-1,NULL,2012,3,2013,NA,acolase90-1-2,540000,90000,,,,,,TRUE,67500,0,67500,war-on-ice.com,NULL,,,,,,,D,NA,270000,0,NA,630000,Sena Acolatse,21,"696,666.666666667"
30,acolase90,Sena Acolatse &acolase90,NA,NA,TWO,202500,696666,xacolase90-1,NULL,2012,3,2014,NA,acolase90-1-3,750000,90000,,,,,,TRUE,67500,0,67500,war-on-ice.com,NULL,,,,,,,D,NA,60000,0,NA,840000,Sena Acolatse,22,"696,666.666666667"
31,acolase90,Sena Acolatse &acolase90,NA,NA,TWO,150000,700000,xacolase90-2015,NULL,2015,1,2015,NA,1796,7E+05,0,,,,,,FALSE,150000,0,700000,war-on-ice.com,RFA,,,,,,,D,NA,0,0,NA,7E+05,Sena Acolatse,23,7E+05
32,actonwi87,Will Acton &actonwi87,NA,NA,TWO,100000,665000,xactonwi87-2014,2014,2014,2,2014,0,1584,650000,30000,,,,,,FALSE,1E+05,0,150000,war-on-ice.com,UFA,,,,,,,C,NA,0,0,NA,680000,Will Acton,26,665000
33,actonwi87,Will Acton &actonwi87,NA,NA,TWO,100000,665000,xactonwi87-2014,2014,2014,2,2015,0,1585,650000,0,,,,,,FALSE,0,0,,war-on-ice.com,UFA,,,,,,,C,NA,0,0,NA,650000,Will Acton,27,665000
34,adamscr77,NA,NA,NA,Unknown,NA,NA,2003adamscr77,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315000,Craig Adams,25,NA
35,adamscr77,NA,NA,NA,Unknown,NA,NA,2004adamscr77,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5E+05,Craig Adams,26,NA
36,adamscr77,NA,NA,NA,Unknown,NA,NA,2006adamscr77,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465000,Craig Adams,28,NA
37,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,600000,xadamscr77-1,NULL,2007,3,2007,NA,adamscr77-1-1,6E+05,0,,,,,,FALSE,0,0,600000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,6E+05,Craig Adams,29,6E+05
38,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,600000,xadamscr77-1,NULL,2007,3,2008,NA,adamscr77-1-2,6E+05,0,,,,,,FALSE,0,0,600000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,6E+05,Craig Adams,30,6E+05
39,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,600000,xadamscr77-1,NULL,2007,3,2009,NA,adamscr77-1-3,6E+05,0,,,,,,FALSE,0,0,600000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,6E+05,Craig Adams,31,6E+05
40,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,550000,xadamscr77-2,NULL,2010,2,2010,NA,adamscr77-2-1,550000,0,,,,,,FALSE,0,0,550000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,550000,Craig Adams,32,550000
41,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,550000,xadamscr77-2,NULL,2010,2,2011,NA,adamscr77-2-2,550000,0,,,,,,FALSE,0,0,550000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,550000,Craig Adams,33,550000
42,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,700000,xadamscr77-2014,2014,2014,2,2014,0,1322,550000,0,,,,,,FALSE,0,0,,war-on-ice.com,UFA,,,,,,,C,NA,0,0,NA,550000,Craig Adams,36,7E+05
43,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,700000,xadamscr77-2014,2014,2014,2,2015,0,1323,7E+05,150000,,,,,,FALSE,0,0,,war-on-ice.com,UFA,,,,,,,C,NA,0,0,NA,850000,Craig Adams,37,7E+05
44,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,675000,xadamscr77-3,NULL,2012,2,2012,NA,adamscr77-3-1,525000,2E+05,,,,,,FALSE,0,0,725000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,725000,Craig Adams,34,675000
45,adamscr77,Craig Adams &adamscr77,NA,NA,ONE,0,675000,xadamscr77-3,NULL,2012,2,2013,NA,adamscr77-3-2,525000,1E+05,,,,,,FALSE,0,0,625000,war-on-ice.com,NULL,,,,,,,C,NA,0,0,NA,625000,Craig Adams,35,675000
46,adamske74,NA,NA,NA,Unknown,NA,NA,2003adamske74,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7E+05,Kevyn Adams,27,NA
47,adamske74,NA,NA,NA,Unknown,NA,NA,2004adamske74,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7E+05,Kevyn Adams,28,NA
48,adamske74,NA,NA,NA,Unknown,NA,NA,2006adamske74,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725000,Kevyn Adams,30,NA
49,adamske74,NA,NA,NA,Unknown,NA,NA,2007adamske74,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725000,Kevyn Adams,31,NA
50,adamske74,NA,NA,NA,Unknown,NA,NA,2008adamske74,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650000,Kevyn Adams,32,NA
51,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,150000,600000,x210,2016,2016,1,2016,0,264,6E+05,0,,,,,,FALSE,150000,0,200000,war-on-ice.com,RFA,,,,,,,L,NA,0,0,NA,6E+05,Luke Adam,25,6E+05
52,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,195000,737500,xadamxlu90-1,NULL,2011,3,2011,NA,adamxlu90-1-1,6E+05,87500,,,,,,TRUE,65000,0,65000,war-on-ice.com,NULL,,,,,,,L,NA,187500,0,NA,687500,Luke Adam,20,737500
53,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,195000,737500,xadamxlu90-1,NULL,2011,3,2012,NA,adamxlu90-1-2,650000,87500,,,,,,TRUE,65000,0,65000,war-on-ice.com,NULL,,,,,,,L,NA,137500,0,NA,737500,Luke Adam,21,737500
54,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,195000,737500,xadamxlu90-1,NULL,2011,3,2013,NA,adamxlu90-1-3,7E+05,87500,,,,,,TRUE,65000,0,65000,war-on-ice.com,NULL,,,,,,,L,NA,87500,0,NA,787500,Luke Adam,22,737500
55,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,65000,735000,xadamxlu90-2,NULL,2014,1,2014,NA,adamxlu90-2-1,735000,0,,,,,,FALSE,65000,0,65000,war-on-ice.com,NULL,,,,,,,L,NA,0,0,NA,735000,Luke Adam,23,735000
56,adamxlu90,Luke Adam &adamxlu90,NA,NA,TWO,150000,650000,xadamxlu90-2015,NULL,2015,1,2015,NA,3356,650000,0,,,,,,FALSE,150000,0,175000,war-on-ice.com,RFA,,,,,,,L,NA,0,0,NA,650000,Luke Adam,24,650000
57,aebisda78,NA,NA,NA,Unknown,NA,NA,2003aebisda78,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5E+05,David Aebischer,24,NA
58,aebisda78,NA,NA,NA,Unknown,NA,NA,2004aebisda78,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550000,David Aebischer,25,NA
59,aebisda78,NA,NA,NA,Unknown,NA,NA,2006aebisda78,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900000,David Aebischer,27,NA
60,aebisda78,NA,NA,NA,Unknown,NA,NA,2007aebisda78,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900000,David Aebischer,28,NA
61,afanadi80,NA,NA,NA,Unknown,NA,NA,2004afanadi80,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800800,Dimitry Afanasenkov,23,NA
62,afanadi80,NA,NA,NA,Unknown,NA,NA,2006afanadi80,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702879,Dimitry Afanasenkov,25,NA
63,afanadi80,NA,NA,NA,Unknown,NA,NA,2007afanadi80,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738045,Dimitry Afanasenkov,26,NA
64,afinoma79,NA,NA,NA,Unknown,NA,NA,2003afinoma79,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100000,Maxim Afinogenov,23,NA
65,afinoma79,NA,NA,NA,Unknown,NA,NA,2004afinoma79,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300000,Maxim Afinogenov,24,NA
66,afinoma79,NA,NA,NA,Unknown,NA,NA,2006afinoma79,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086800,Maxim Afinogenov,26,NA
67,afinoma79,Maxim Afinogenov &afinoma79,NA,NA,ONE,0,3333333,xafinoma79-1,NULL,2007,3,2007,NA,afinoma79-1-1,3E+06,0,,,,,,FALSE,0,0,3000000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,3E+06,Maxim Afinogenov,27,"3,333,333.33333333"
68,afinoma79,Maxim Afinogenov &afinoma79,NA,NA,ONE,0,3333333,xafinoma79-1,NULL,2007,3,2008,NA,afinoma79-1-2,3500000,0,,,,,,FALSE,0,0,3500000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,3500000,Maxim Afinogenov,28,"3,333,333.33333333"
69,afinoma79,Maxim Afinogenov &afinoma79,NA,NA,ONE,0,3333333,xafinoma79-1,NULL,2007,3,2009,NA,afinoma79-1-3,3500000,0,,,,,,FALSE,0,0,3500000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,3500000,Maxim Afinogenov,29,"3,333,333.33333333"
70,afinoma79,Maxim Afinogenov &afinoma79,NA,NA,ONE,0,800000,xafinoma79-2,NULL,2010,1,2010,NA,afinoma79-2-1,8E+05,0,,,,,,FALSE,0,0,800000,war-on-ice.com,NULL,,,,,,,R,NA,0,0,NA,8E+05,Maxim Afinogenov,30,8E+05
71,agostke92,Kenny Agostino &agostke92,NA,NA,TWO,1,829500,x392,2016,2016,1,2016,0,584,829500,0,,,,,,FALSE,1,0,,Calgary Flames - Unconfirmed,RFA,,,,,,,L,NA,0,0,NA,829500,Kenny Agostino,23,829500
72,agostke92,Kenny Agostino &agostke92,NA,NA,TWO,135000,845000,xagostke92-2014,2014,2014,2,2014,845000,4509,810000,90000,,,,,,FALSE,67500,0,,war-on-ice.com,RFA,,,,,,,L,NA,0,0,NA,9E+05,Kenny Agostino,21,845000
73,agostke92,Kenny Agostino &agostke92,NA,NA,TWO,135000,845000,xagostke92-2014,2014,2014,2,2015,845000,4510,7E+05,90000,,,,,,FALSE,67500,0,,war-on-ice.com,RFA,,,,,,,L,NA,110000,0,NA,790000,Kenny Agostino,22,845000
74,agozzan91,Andrew Agozzino &agozzan91,NA,NA,TWO,150000,600000,x333,2016,2016,1,2016,0,479,6E+05,0,,,,,,FALSE,150000,0,,war-on-ice.com,RFA,,,,,,,LC,NA,0,0,NA,6E+05,Andrew Agozzino,24,6E+05
75,agozzan91,Andrew Agozzino &agozzan91,NA,NA,TWO,120000,590000,xagozzan91-2014,2014,2014,2,2014,590000,5124,550000,40000,,,,,,FALSE,60000,0,,war-on-ice.com,RFA,,,,,,,LC,NA,0,0,NA,590000,Andrew Agozzino,22,590000
76,agozzan91,Andrew Agozzino &agozzan91,NA,NA,TWO,120000,590000,xagozzan91-2014,2014,2014,2,2015,590000,5125,550000,40000,,,,,,FALSE,60000,0,,war-on-ice.com,RFA,,,,,,,LC,NA,0,0,NA,590000,Andrew Agozzino,23,590000
77,ahneljo87,Jonas Ahnelov &ahneljo87,NA,NA,TWO,187500,575000,xahneljo87-1,NULL,2009,3,2009,NA,ahneljo87-1-1,475000,75000,,,,,,TRUE,62500,0,62500,war-on-ice.com,UFA,,,,,,,D,NA,(non-zero),0,NA,550000,Jonas Ahnelov,20,575000
78,ahneljo87,Jonas Ahnelov &ahneljo87,NA,NA,TWO,187500,575000,xahneljo87-1,NULL,2009,3,2010,NA,ahneljo87-1-2,5E+05,75000,,,,,,TRUE,62500,0,62500,war-on-ice.com,UFA,,,,,,,D,NA,(non-zero),0,NA,575000,Jonas Ahnelov,21,575000
79,ahneljo87,Jonas Ahnelov &ahneljo87,NA,NA,TWO,187500,575000,xahneljo87-1,NULL,2009,3,2011,NA,ahneljo87-1-3,525000,75000,,,,,,TRUE,62500,0,62500,war-on-ice.com,UFA,,,,,,,D,NA,(non-zero),0,NA,6E+05,Jonas Ahnelov,22,575000
80,aitkejo78,NA,NA,NA,Unknown,NA,NA,2004aitkejo78,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,Johnathan Aitken,25,NA
81,aittosa92,Sami Aittokallio &aittosa92,NA,NA,TWO,65000,735000,x8122,2016,2016,1,2016,0,11958,735000,0,,,,,,FALSE,65000,0,,war-on-ice.com,RFA,,,,,,,G,NA,0,0,NA,735000,Sami Aittokallio,23,735000
82,aittosa92,Sami Aittokallio &aittosa92,NA,NA,TWO,195000,683333,xaittosa92-2013,2011,2013,3,2013,683000,4469,525000,65000,,,,,,FALSE,65000,0,,war-on-ice.com,RFA,,,,,,,G,NA,60000,0,NA,590000,Sami Aittokallio,20,"683,333.333333333"
83,aittosa92,Sami Aittokallio &aittosa92,NA,NA,TWO,195000,683333,xaittosa92-2013,2011,2013,3,2014,683000,4470,6E+05,80000,,,,,,FALSE,65000,0,,war-on-ice.com,RFA,,,,,,,G,NA,120000,0,NA,680000,Sami Aittokallio,21,"683,333.333333333"
84,aittosa92,Sami Aittokallio &aittosa92,NA,NA,TWO,195000,683333,xaittosa92-2013,2011,2013,3,2015,683000,4471,7E+05,80000,,,,,,FALSE,65000,0,,war-on-ice.com,RFA,,,,,,,G,NA,20000,0,NA,780000,Sami Aittokallio,22,"683,333.333333333"
85,akesoja90,Jason Akeson &akesoja90,NA,NA,TWO,250000,575000,x125,2016,2016,1,2016,0,143,575000,0,,,,,,FALSE,250000,0,325000,war-on-ice.com,UFA,,,,,,,R,NA,0,0,NA,575000,Jason Akeson,25,575000
86,akesoja90,Jason Akeson &akesoja90,NA,NA,TWO,185000,715000,xakesoja90-1,NULL,2012,3,2012,NA,akesoja90-1-1,6E+05,90000,,,,,,TRUE,60000,0,60000,war-on-ice.com,NULL,,,,,,,R,NA,210000,0,NA,690000,Jason Akeson,21,715000
87,akesoja90,Jason Akeson &akesoja90,NA,NA,TWO,185000,715000,xakesoja90-1,NULL,2012,3,2013,NA,akesoja90-1-2,625000,90000,,,,,,TRUE,60000,0,60000,war-on-ice.com,NULL,,,,,,,R,NA,185000,0,NA,715000,Jason Akeson,22,715000
88,akesoja90,Jason Akeson &akesoja90,NA,NA,TWO,185000,715000,xakesoja90-1,NULL,2012,3,2014,NA,akesoja90-1-3,650000,90000,,,,,,TRUE,65000,0,65000,war-on-ice.com,NULL,,,,,,,R,NA,160000,0,NA,740000,Jason Akeson,23,715000
89,akesoja90,Jason Akeson &akesoja90,NA,NA,TWO,175000,575000,xakesoja90-2015,NULL,2015,1,2015,NA,2282,575000,0,,,,,,FALSE,175000,0,250000,war-on-ice.com,RFA,,,,,,,R,NA,0,0,NA,575000,Jason Akeson,24,575000
90,albelto64,NA,NA,NA,Unknown,NA,NA,2003albelto64,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113260,Tommy Albelin,38,NA
91,albelto64,NA,NA,NA,Unknown,NA,NA,2004albelto64,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848760,Tommy Albelin,39,NA
92,albelto64,NA,NA,NA,Unknown,NA,NA,2006albelto64,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,,,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,Tommy Albelin,41,NA
93,alberan81,Andrew Alberts &alberan81,NA,NA,ONE,0,858800,xalberan81-1,NULL,2006,1,2006,NA,alberan81-1-1,858800,0,,,,,,FALSE,0,0,858800,war-on-ice.com,NULL,,,,,,,D,NA,0,0,NA,858800,Andrew Alberts,24,858800
94,alberan81,Andrew Alberts &alberan81,NA,NA,ONE,0,661300,xalberan81-2,NULL,2007,1,2007,NA,alberan81-2-1,661300,0,,,,,,FALSE,0,0,661300,war-on-ice.com,NULL,,,,,,,D,NA,0,0,NA,661300,Andrew Alberts,25,661300
